questions	question_or_statement
If you want a sandwich just go to any Firehouse!!!!!	0
My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.	0
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	0
He came running after us when he realized my husband had left his sunglasses on the table.	0
Their chow mein is so good!	0
They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.	0
The portion was huge!	0
Loved it...friendly servers, great food, wonderful and imaginative menu.	0
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	0
Not much seafood and like 5 strings of pasta at the bottom.	0
The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.	0
The ripped banana was not only ripped, but petrified and tasteless.	0
At least think to refill my water before I struggle to wave you over for 10 minutes.	0
This place receives stars for their APPETIZERS!!!	0
The cocktails are all handmade and delicious.	0
We'd definitely go back here again.	0
We are so glad we found this place.	0
Great food and service, huge portions and they give a military discount.	0
Always a great time at Dos Gringos!	0
Update.....went back for a second time and it was still just as amazing	0
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.	0
A great way to finish a great.	0
The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.	0
- Really, really good rice, all the time.	0
The service was meh.	0
It took over 30 min to get their milkshake, which was nothing more than chocolate milk.	0
I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.	0
The scallop dish is quite appalling for value as well.	0
2 times - Very Bad Customer Service !	0
The sweet potato fries were very good and seasoned well.	0
Today is the second time I've been to their lunch buffet and it was pretty good.	0
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.	0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
walked in and the place smelled like an old grease trap and only 2 others there eating.	0
The turkey and roast beef were bland.	0
This place has it!	0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0
I love the Pho and the spring rolls oh so yummy you have to try.	0
The poor batter to meat ratio made the chicken tenders very unsatisfying.	0
All I have to say is the food was amazing!!!	0
Omelets are to die for!	0
Everything was fresh and delicious!	0
In summary, this was a largely disappointing dining experience.	0
It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.	0
Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!	0
Best breakfast buffet!!!	0
say bye bye to your tip lady!	0
We'll never go again.	0
Will be back again!	0
Food arrived quickly!	0
It was not good.	0
On the up side, their cafe serves really good food.	0
Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!	0
The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.	0
Best Buffet in town, for the price you cannot beat it.	0
I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.	0
This is one of the better buffets that I have been to.	0
So we went to Tigerlilly and had a fantastic afternoon!	0
The food was delicious, our bartender was attentive and personable AND we got a great deal!	0
The ambience is wonderful and there is music playing.	0
Will go back next trip out.	0
Sooooo good!!	0
REAL sushi lovers, let's be honest - Yama is not that good.	0
At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.	0
This is a really fantastic Thai restaurant which is definitely worth a visit.	0
Nice, spicy and tender.	0
Good prices.	0
Check it out.	0
It was pretty gross!	0
I've had better atmosphere.	0
Kind of hard to mess up a steak but they did.	0
Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.	0
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	0
Worst service to boot, but that is the least of their worries.	0
Service was fine and the waitress was friendly.	0
The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.	0
We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.	0
Host staff were, for lack of a better word, BITCHES!	0
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...	0
Phenomenal food, service and ambiance.	0
I wouldn't return.	0
Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.	0
This place is way too overpriced for mediocre food.	0
Penne vodka excellent!	0
They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.	0
The management is rude.	0
Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.	0
Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.	0
I had a seriously solid breakfast here.	0
This is one of the best bars with food in Vegas.	0
He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.	0
My drink was never empty and he made some really great menu suggestions.	0
Don't do it!!!!	0
The waiter wasn't helpful or friendly and rarely checked on us.	0
My husband and I ate lunch here and were very disappointed with the food and service.	0
And the red curry had so much bamboo shoots and wasn't very tasty to me.	0
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.	0
The bathrooms are clean and the place itself is well decorated.	0
The menu is always changing, food quality is going down & service is extremely slow.	0
The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.	0
I give it 2 thumbs down	0
We watched our waiter pay a lot more attention to other tables and ignore us.	0
My fiancé and I came in the middle of the day and we were greeted and seated right away.	0
This is a great restaurant at the Mandalay Bay.	0
We waited for forty five minutes in vain.	0
Crostini that came with the salad was stale.	0
Some highlights : Great quality nigiri here!	0
the staff is friendly and the joint is always clean.	0
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.	0
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.	0
this place is good.	0
Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.	0
I came back today since they relocated and still not impressed.	0
I was seated immediately.	0
Their menu is diverse, and reasonably priced.	0
Avoid at all cost!	0
Restaurant is always full but never a wait.	0
DELICIOUS!!	0
This place is hands-down one of the best places to eat in the Phoenix metro area.	0
So don't go there if you are looking for good food...	0
I've never been treated so bad.	0
Bacon is hella salty.	0
We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.	0
This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.	0
The waitresses are very friendly.	0
Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!	0
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.	0
Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.	0
The service here leaves a lot to be desired.	0
The atmosphere is modern and hip, while maintaining a touch of coziness.	0
Not a weekly haunt, but definitely a place to come back to every once in a while.	0
We literally sat there for 20 minutes with no one asking to take our order.	0
The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.	0
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0
I dressed up to be treated so rudely!	0
It was probably dirt.	0
Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.	0
I ordered the Lemon raspberry ice cocktail which was also incredible.	0
The food sucked, which we expected but it sucked more than we could have imagined.	0
Interesting decor.	0
What I really like there is the crepe station.	0
Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.	0
you can watch them preparing the delicious food!)	0
Both of the egg rolls were fantastic.	0
When my order arrived, one of the gyros was missing.	0
I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.	0
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.	0
The best place to go for a tasty bowl of Pho!	0
The live music on Fridays totally blows.	0
I've never been more insulted or felt disrespected.	0
Very friendly staff.	0
It is worth the drive.	0
I had heard good things about this place, but it exceeding every hope I could have dreamed of.	0
Food was great and so was the serivce!	0
The warm beer didn't help.	0
Great brunch spot.	0
Service is friendly and inviting.	0
Very good lunch spot.	0
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.	0
The WORST EXPERIENCE EVER.	0
Must have been an off night at this place.	0
The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.	0
If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.	0
For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.	0
My friend loved the salmon tartar.	0
Won't go back.	0
Extremely Tasty!	0
Waitress was good though!	0
Soggy and not good.	0
The Jamaican mojitos are delicious.	0
Which are small and not worth the price.	0
- the food is rich so order accordingly.	0
The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!	0
The service was a bit lacking.	0
Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.	0
Hopefully this bodes for them going out of business and someone who can cook can come in.	0
It was either too cold, not enough flavor or just bad.	0
I loved the bacon wrapped dates.	0
This is an unbelievable BARGAIN!	0
The folks at Otto always make us feel so welcome and special.	0
As for the "mains," also uninspired.	0
This is the place where I first had pho and it was amazing!!	0
This wonderful experience made this place a must-stop whenever we are in town again.	0
If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.	0
Very very fun chef.	0
Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.	0
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.	0
If it were possible to give them zero stars, they'd have it.	0
The descriptions said "yum yum sauce" and another said "eel sauce", yet another said "spicy mayo"...well NONE of the rolls had sauces on them.	0
I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).	0
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.	0
Everyone is very attentive, providing excellent customer service.	0
Horrible - don't waste your time and money.	0
Now this dish was quite flavourful.	0
By this time our side of the restaurant was almost empty so there was no excuse.	0
(It wasn't busy either) Also, the building was FREEZING cold.	0
like the other reviewer said "you couldn't pay me to eat at this place again."	0
-Drinks took close to 30 minutes to come out at one point.	0
Seriously flavorful delights, folks.	0
Much better than the other AYCE sushi place I went to in Vegas.	0
The lighting is just dark enough to set the mood.	0
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.	0
Owner's are really great people.!	0
There is nothing privileged about working/eating there.	0
The Greek dressing was very creamy and flavorful.	0
Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.	0
Now the pizza itself was good the peanut sauce was very tasty.	0
We had 7 at our table and the service was pretty fast.	0
Fantastic service here.	0
I as well would've given godfathers zero stars if possible.	0
They know how to make them here.	0
very tough and very short on flavor!	0
I hope this place sticks around.	0
I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.	0
The restaurant atmosphere was exquisite.	0
Good service, very clean, and inexpensive, to boot!	0
The seafood was fresh and generous in portion.	0
Plus, it's only 8 bucks.	0
The service was not up to par, either.	0
Thus far, have only visited twice and the food was absolutely delicious each time.	0
Just as good as when I had it more than a year ago!	0
For a self proclaimed coffee cafe, I was wildly disappointed.	0
The Veggitarian platter is out of this world!	0
You cant go wrong with any of the food here.	0
You can't beat that.	0
Stopped by this place while in Madison for the Ironman, very friendly, kind staff.	0
The chefs were friendly and did a good job.	0
I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.	0
I liked the patio and the service was outstanding.	0
The goat taco didn't skimp on the meat and wow what FLAVOR!	0
I think not again	0
I had the mac salad and it was pretty bland so I will not be getting that again.	0
I went to Bachi Burger on a friend's recommendation and was not disappointed.	0
Service stinks here!	0
I waited and waited.	0
This place is not quality sushi, it is not a quality restaurant.	0
I would definitely recommend the wings as well as the pizza.	0
Great Pizza and Salads!	0
Things that went wrong: - They burned the saganaki.	0
We waited an hour for what was a breakfast I could have done 100 times better at home.	0
This place is amazing!	0
I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.	0
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	0
Just don't know why they were so slow.	0
The staff is great, the food is delish, and they have an incredible beer selection.	0
I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.	0
I didn't know pulled pork could be soooo delicious.	0
You get incredibly fresh fish, prepared with care.	0
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.	0
I love the fact that everything on their menu is worth it.	0
Never again will I be dining at this place!	0
The food was excellent and service was very good.	0
Good beer & drink selection and good food selection.	0
Please stay away from the shrimp stir fried noodles.	0
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	0
Food was really boring.	0
Good Service-check!	0
This greedy corporation will NEVER see another dime from me!	0
Will never, ever go back.	0
As much as I'd like to go back, I can't get passed the atrocious service and will never return.	0
In the summer, you can dine in a charming outdoor patio - so very delightful.	0
I did not expect this to be so good!	0
Fantastic food!	0
She ordered a toasted English muffin that came out untoasted.	0
The food was very good.	0
Never going back.	0
Great food for the price, which is very high quality and house made.	0
The bus boy on the other hand was so rude.	0
By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.	0
Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.	0
And considering the two of us left there very full and happy for about $20, you just can't go wrong.	0
All the bread is made in-house!	0
The only downside is the service.	0
Also, the fries are without a doubt the worst fries I've ever had.	0
Service was exceptional and food was a good as all the reviews.	0
A couple of months later, I returned and had an amazing meal.	0
Favorite place in town for shawarrrrrrma!!!!!!	0
The black eyed peas and sweet potatoes... UNREAL!	0
You won't be disappointed.	0
They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.	0
I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.	0
When my mom and I got home she immediately got sick and she only had a few bites of salad.	0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.	0
Both of them were truly unbelievably good, and I am so glad we went back.	0
We had fantastic service, and were pleased by the atmosphere.	0
Everything was gross.	0
I love this place.	0
Great service and food.	0
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!	0
The burger... I got the "Gold Standard" a $17 burger and was kind of disappointed.	0
OMG, the food was delicioso!	0
There is nothing authentic about this place.	0
the spaghetti is nothing special whatsoever.	0
Of all the dishes, the salmon was the best, but all were great.	0
The vegetables are so fresh and the sauce feels like authentic Thai.	0
It's worth driving up from Tucson!	0
The selection was probably the worst I've seen in Vegas.....there was none.	0
Pretty good beer selection too.	0
This place is like Chipotle, but BETTER.	0
Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!	0
5 stars for the brick oven bread app!	0
I have eaten here multiple times, and each time the food was delicious.	0
We sat another ten minutes and finally gave up and left.	0
He was terrible!	0
Everyone is treated equally special.	0
It shouldn't take 30 min for pancakes and eggs.	0
It was delicious!!!	0
On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.	0
Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.	0
As always the evening was wonderful and the food delicious!	0
Best fish I've ever had in my life!	0
(The bathroom is just next door and very nice.)	0
The buffet is small and all the food they offered was BLAND.	0
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.	0
Pretty cool I would say.	0
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.	0
Server did a great job handling our large rowdy table.	0
I find wasting food to be despicable, but this just wasn't food.	0
My wife had the Lobster Bisque soup which was lukewarm.	0
Would come back again if I had a sushi craving while in Vegas.	0
The staff are great, the ambiance is great.	0
He deserves 5 stars.	0
I left with a stomach ache and felt sick the rest of the day.	0
They dropped more than the ball.	0
The dining space is tiny, but elegantly decorated and comfortable.	0
They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!	0
And the beans and rice were mediocre at best.	0
Best tacos in town by far!!	0
I took back my money and got outta there.	0
In an interesting part of town, this place is amazing.	0
RUDE & INCONSIDERATE MANAGEMENT.	0
The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.	0
I won't be back.	0
They have great dinners.	0
The service was outshining & I definitely recommend the Halibut.	0
The food was terrible.	0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0
I don't recommend unless your car breaks down in front of it and you are starving.	0
I will come back here every time I'm in Vegas.	0
This place deserves one star and 90% has to do with the food.	0
This is a disgrace.	0
Def coming back to bowl next time	0
If you want healthy authentic or ethic food, try this place.	0
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.	0
I have been here several times in the past, and the experience has always been great.	0
We walked away stuffed and happy about our first Vegas buffet experience.	0
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.	0
To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.	0
I'm probably one of the few people to ever go to Ians and not like it.	0
Kids pizza is always a hit too with lots of great side dish options for the kiddos!	0
Service is perfect and the family atmosphere is nice to see.	0
Cooked to perfection and the service was impeccable.	0
This one is simply a disappointment.	0
Overall, I was very disappointed with the quality of food at Bouchon.	0
I don't have to be an accountant to know I'm getting screwed!	0
Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.	0
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.	0
Left very frustrated.	0
I'll definitely be in soon again.	0
Food was really good and I got full petty fast.	0
Service was fantastic.	0
TOTAL WASTE OF TIME.	0
I don't know what kind it is but they have the best iced tea.	0
Come hungry, leave happy and stuffed!	0
For service, I give them no stars.	0
I can assure you that you won't be disappointed.	0
I can take a little bad service but the food sucks.	0
Gave up trying to eat any of the crust (teeth still sore).	0
But now I was completely grossed out.	0
I really enjoyed eating here.	0
First time going but I think I will quickly become a regular.	0
Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.	0
From what my dinner companions told me...everything was very fresh with nice texture and taste.	0
On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.	0
Furthermore, you can't even find hours of operation on the website!	0
We've tried to like this place but after 10+ times I think we're done with them.	0
What a mistake that was!	0
No complaints!	0
This is some seriously good pizza and I'm an expert/connisseur on the topic.	0
Waiter was a jerk.	0
Strike 2, who wants to be rushed.	0
These are the nicest restaurant owners I've ever come across.	0
I never come again.	0
We loved the biscuits!!!	0
Service is quick and friendly.	0
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.	0
So absolutley fantastic.	0
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.	0
definitely will come back here again.	0
I like Steiners because it's dark and it feels like a bar.	0
Wow very spicy but delicious.	0
If you're not familiar, check it out.	0
I'll take my business dinner dollars elsewhere.	0
I'd love to go back.	0
Anyway, this FS restaurant has a wonderful breakfast/lunch.	0
Nothing special.	0
Each day of the week they have a different deal and it's all so delicious!	0
Not to mention the combination of pears, almonds and bacon is a big winner!	0
Will not be back.	0
Sauce was tasteless.	0
The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.	0
My ribeye steak was cooked perfectly and had great mesquite flavor.	0
I don't think we'll be going back anytime soon.	0
Food was so gooodd.	0
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.	0
I was so insulted.	0
The last 3 times I had lunch here has been bad.	0
The chicken wings contained the driest chicken meat I have ever eaten.	0
The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.	0
Nargile - I think you are great.	0
Best tater tots in the southwest.	0
We loved the place.	0
Definitely not worth the $3 I paid.	0
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.	0
Im in AZ all the time and now have my new spot.	0
The manager was the worst.	0
The inside is really quite nice and very clean.	0
The food was outstanding and the prices were very reasonable.	0
I don't think I'll be running back to Carly's anytime soon for food.	0
This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.	0
Love the margaritas, too!	0
This was my first and only Vegas buffet and it did not disappoint.	0
Very good, though!	0
The one down note is the ventilation could use some upgrading.	0
Great pork sandwich.	0
Don't waste your time here.	0
Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.	0
Third, the cheese on my friend's burger was cold.	0
We enjoy their pizza and brunch.	0
The steaks are all well trimmed and also perfectly cooked.	0
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.	0
I LOVED it!	0
We asked for the bill to leave without eating and they didn't bring that either.	0
This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.	0
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.	0
The selection of food was not the best.	0
Delicious and I will absolutely be back!	0
This isn't a small family restaurant, this is a fine dining establishment.	0
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.	0
I dont think I will be back for a very long time.	0
It was attached to a gas station, and that is rarely a good sign.	0
How awesome is that.	0
I will be back many times soon.	0
The menu had so much good stuff on it i could not decide!	0
Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.	0
CONCLUSION: Very filling meals.	0
Their daily specials are always a hit with my group.	0
And then tragedy struck.	0
The pancake was also really good and pretty large at that.	0
This was my first crawfish experience, and it was delicious!	0
Their monster chicken fried steak and eggs is my all time favorite.	0
Waitress was sweet and funny.	0
I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!	0
I'd rather eat airline food, seriously.	0
Cant say enough good things about this place.	0
The ambiance was incredible.	0
The waitress and manager are so friendly.	0
I would not recommend this place.	0
Overall I wasn't very impressed with Noca.	0
My gyro was basically lettuce only.	0
Terrible service!	0
Thoroughly disappointed!	0
I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.	0
Give it a try, you will be happy you did.	0
By far the BEST cheesecurds we have ever had!	0
Reasonably priced also!	0
Everything was perfect the night we were in.	0
The food is very good for your typical bar food.	0
it was a drive to get there.	0
At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.	0
Anyway, I do not think i will go back there.	0
Point your finger at any item on the menu, order it and you won't be disappointed.	0
Oh this is such a thing of beauty, this restaurant.	0
If you haven't gone here GO NOW!	0
A greasy, unhealthy meal.	0
first time there and might just be the last.	0
Those burgers were amazing.	0
Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.	0
And it was way to expensive.	0
Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.	0
This was my first time and I can't wait until the next.	0
The bartender was also nice.	0
Everything was good and tasty!	0
This place is two thumbs up....way up.	0
The best place in Vegas for breakfast (just check out a Sat, or Sun.	0
If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.	0
Terrible management.	0
An excellent new restaurant by an experienced Frenchman.	0
If there were zero stars I would give it zero stars.	0
Great steak, great sides, great wine, amazing desserts.	0
Worst martini ever!	0
The steak and the shrimp are in my opinion the best entrees at GC.	0
I had the opportunity today to sample your amazing pizzas!	0
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	0
The yellowtail carpaccio was melt in your mouth fresh.	0
I won't try going back there even if it's empty.	0
No, I'm going to eat the potato that I found some strangers hair in it.	0
Just spicy enough.. Perfect actually.	0
Last night was my second time dining here and I was so happy I decided to go back!	0
not even a "hello, we will be right with you."	0
The desserts were a bit strange.	0
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.	0
I really do recommend this place, you can go wrong with this donut place!	0
Nice ambiance.	0
I would recommend saving room for this!	0
I guess maybe we went on an off night but it was disgraceful.	0
However, my recent experience at this particular location was not so good.	0
I know this is not like the other restaurants at all, something is very off here!	0
AVOID THIS ESTABLISHMENT!	0
I think this restaurant suffers from not trying hard enough.	0
All of the tapas dishes were delicious!	0
I *heart* this place.	0
My salad had a bland vinegrette on the baby greens and hearts of Palm.	0
After two I felt disgusting.	0
A good time!	0
I believe that this place is a great stop for those with a huge belly and hankering for sushi.	0
Generous portions and great taste.	0
I will never go back to this place and will never ever recommended this place to anyone!	0
The servers went back and forth several times, not even so much as an "Are you being helped?"	0
Food was delicious!	0
AN HOUR... seriously?	0
I consider this theft.	0
Eew... This location needs a complete overhaul.	0
We recently witnessed her poor quality of management towards other guests as well.	0
Waited and waited and waited.	0
He also came back to check on us regularly, excellent service.	0
Our server was super nice and checked on us many times.	0
The pizza tasted old, super chewy in not a good way.	0
I swung in to give them a try but was deeply disappointed.	0
Service was good and the company was better!	0
The staff are also very friendly and efficient.	0
As for the service: I'm a fan, because it's quick and you're being served by some nice folks.	0
Boy was that sucker dry!!.	0
Over rated.	0
If you look for authentic Thai food, go else where.	0
Their steaks are 100% recommended!	0
After I pulled up my car I waited for another 15 minutes before being acknowledged.	0
Great food and great service in a clean and friendly setting.	0
All in all, I can assure you I'll be back.	0
I hate those things as much as cheap quality black olives.	0
My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.	0
The kids play area is NASTY!	0
Great place fo take out or eat in.	0
The waitress was friendly and happy to accomodate for vegan/veggie options.	0
OMG I felt like I had never eaten Thai food until this dish.	0
It was extremely "crumby" and pretty tasteless.	0
It was a pale color instead of nice and char and has NO flavor.	0
The croutons also taste homemade which is an extra plus.	0
I got home to see the driest damn wings ever!	0
It'll be a regular stop on my trips to Phoenix!	0
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.	0
Not good for the money.	0
I miss it and wish they had one in Philadelphia!	0
We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.	0
They also have the best cheese crisp in town.	0
Good value, great food, great service.	0
Couldn't ask for a more satisfying meal.	0
The food is good.	0
It was awesome.	0
I just wanted to leave.	0
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!	0
I will not be eating there again.	0
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!	0
I checked out this place a couple years ago and was not impressed.	0
The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.	0
Sorry, I will not be getting food from here anytime soon :(	0
An absolute must visit!	0
The cow tongue and cheek tacos are amazing.	0
My friend did not like his Bloody Mary.	0
Despite how hard I rate businesses, its actually rare for me to give a 1 star.	0
They really want to make your experience a good one.	0
I will not return.	0
I had the chicken Pho and it tasted very bland.	0
Very disappointing!!!	0
The grilled chicken was so tender and yellow from the saffron seasoning.	0
a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.	0
Pretty awesome place.	0
Ambience is perfect.	0
Best of luck to the rude and non-customer service focused new management.	0
Any grandmother can make a roasted chicken better than this one.	0
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.	0
The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!	0
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !	0
The roast beef sandwich tasted really good!	0
Same evening, him and I are both drastically sick.	0
High-quality chicken on the chicken Caesar salad.	0
Ordered burger rare came in we'll done.	0
We were promptly greeted and seated.	0
Tried to go here for lunch and it was a madhouse.	0
I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.	0
After waiting an hour and being seated, I was not in the greatest of moods.	0
This is a good joint.	0
The Macarons here are insanely good.	0
I'm not eating here!	0
Our waiter was very attentive, friendly, and informative.	0
Maybe if they weren't cold they would have been somewhat edible.	0
This place has a lot of promise but fails to deliver.	0
Very bad Experience!	0
What a mistake.	0
Food was average at best.	0
Great food.	0
We won't be going back anytime soon!	0
Very Very Disappointed ordered the $35 Big Bay Plater.	0
Great place to relax and have an awesome burger and beer.	0
It is PERFECT for a sit-down family meal or get together with a few friends.	0
Not much flavor to them, and very poorly constructed.	0
The patio seating was very comfortable.	0
The fried rice was dry as well.	0
Hands down my favorite Italian restaurant!	0
That just SCREAMS "LEGIT" in my book...somethat's also pretty rare here in Vegas.	0
It was just not a fun experience.	0
The atmosphere was great with a lovely duo of violinists playing songs we requested.	0
I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).	0
Very convenient, since we were staying at the MGM!	0
The owners are super friendly and the staff is courteous.	0
Both great!	0
Eclectic selection.	0
The sweet potato tots were good but the onion rings were perfection or as close as I have had.	0
The staff was very attentive.	0
And the chef was generous with his time (even came around twice so we can take pictures with him).	0
The owner used to work at Nobu, so this place is really similar for half the price.	0
